CNTRY,admin1,admin2,CITYID,grad10,grad20,pop10,pop20,rate
일본,Akita-ken,Ugo-machi,JP05024,711,876,16792,13825,-17.67%
일본,Akita-ken,Higashinaruse-mura,JP05025,68,156,2872,2704,-5.85%
일본,Yamagata-ken,Yamagata-shi,JP06001,"34,553","41,428",254244,247590,-2.62%
일본,Yamagata-ken,Yonezawa-shi,JP06002,"7,118","8,467",89401,81252,-9.12%
일본,Yamagata-ken,Tsuruoka-shi,JP06003,"10,077","12,254",136623,122347,-10.45%
일본,Yamagata-ken,Sakata-shi,JP06004,"9,241","11,019",111151,100273,-9.79%
일본,Yamagata-ken,Shinjo-shi,JP06005,"3,147","3,387",38850,34432,-11.37%
일본,Yamagata-ken,Sagae-shi,JP06006,"3,767","4,850",42373,40189,-5.15%
일본,Yamagata-ken,Kaminoyama-shi,JP06007,"2,537","2,970",33836,29110,-13.97%
일본,Yamagata-ken,Murayama-shi,JP06008,"1,993","2,216",26811,22516,-16.02%
일본,Yamagata-ken,Nagai-shi,JP06009,"2,136","2,571",29473,26543,-9.94%
일본,Yamagata-ken,Tendo-shi,JP06010,"5,587","7,419",62214,62140,-0.12%
일본,Yamagata-ken,Higashine-shi,JP06011,"3,644","4,863",46414,47682,2.73%
