CNTRY,admin1,admin2,emp10,emp20,pop10,pop20,rate
일본,Hokkaido,Suttsu-cho,1601,1414,3443,2838,-17.57%
일본,Hokkaido,Kuromatsunai-cho,1469,1357,3250,2791,-14.12%
일본,Hokkaido,Rankoshi-cho,2695,2443,5292,4568,-13.68%
일본,Hokkaido,Niseko-cho,2562,2755,4823,5074,5.20%
일본,Hokkaido,Makkari-mura,1266,1180,2189,2045,-6.58%
일본,Hokkaido,Rusutsu-mura,1257,1257,2034,1911,-6.05%
일본,Hokkaido,Kimobetsu-cho,1370,1100,2490,2156,-13.41%
일본,Hokkaido,Kyogoku-cho,2129,1565,3811,2941,-22.83%
일본,Hokkaido,Kutchan-cho,8645,8281,15568,15129,-2.82%
일본,Hokkaido,Kyowa-cho,3480,3290,6428,5772,-10.21%
일본,Hokkaido,Iwanai-cho,7104,5876,14451,11648,-19.40%
일본,Hokkaido,Tomari-mura,869,809,1883,1569,-16.68%
일본,Hokkaido,Kamoenai-mura,511,406,1122,870,-22.46%
일본,Hokkaido,Shakotan-cho,1280,971,2516,1831,-27.23%
일본,Hokkaido,Furubira-cho,1822,1351,3611,2745,-23.98%
일본,Hokkaido,Niki-cho,1903,1715,3800,3180,-16.32%
일본,Hokkaido,Yoichi-cho,10106,8570,21258,18000,-15.33%
일본,Hokkaido,Akaigawa-mura,721,731,1262,1165,-7.69%
일본,Hokkaido,Nanporo-cho,4651,3882,8778,7319,-16.62%
일본,Hokkaido,Naie-cho,2903,2516,6194,5120,-17.34%
일본,Hokkaido,Kamisunagawa-cho,1545,1166,4086,2841,-30.47%
일본,Hokkaido,Yuni-cho,3099,2661,5896,4822,-18.22%
일본,Hokkaido,Naganuma-cho,6394,5595,11691,10289,-11.99%
일본,Hokkaido,Kuriyama-cho,6697,5697,13340,11272,-15.50%
일본,Hokkaido,Tsukigata-cho,1935,1576,4859,3691,-24.04%
일본,Hokkaido,Urausu-cho,1181,919,2206,1732,-21.49%
일본,Hokkaido,Shintotsukawa-cho,3539,3152,7249,6484,-10.55%
일본,Hokkaido,Moseushi-cho,1686,1370,3462,2693,-22.21%
일본,Hokkaido,Chippubetsu-cho,1365,1201,2730,2329,-14.69%
일본,Hokkaido,Uryu-cho,1421,1198,3049,2389,-21.65%
일본,Hokkaido,Hokuryu-cho,1159,910,2193,1724,-21.39%
일본,Hokkaido,Numata-cho,1889,1607,3612,2909,-19.46%
일본,Hokkaido,Takasu-cho,3679,3251,7345,6567,-10.59%
일본,Hokkaido,Higashikagura-cho,4653,5001,9292,10127,8.99%
일본,Hokkaido,Tohma-cho,3626,3294,7087,6319,-10.84%
일본,Hokkaido,Pippu-cho,2155,1872,4042,3520,-12.91%
