CNTRY,admin1,admin2,CITYID,hlth10,hlth20,pop10,pop20,rate
일본,Hokkaido,Aibetsu-cho,JP01091,0,9,3328,2605,-21.72%
일본,Hokkaido,Kamikawa-cho,JP01092,4,14,4532,3500,-22.77%
일본,Hokkaido,Higashikawa-cho,JP01093,12,18,7859,8314,5.79%
일본,Hokkaido,Biei-cho,JP01094,12,27,10956,9668,-11.76%
일본,Hokkaido,Kamifurano-cho,JP01095,10,26,11545,10348,-10.37%
일본,Hokkaido,Nakafurano-cho,JP01096,4,8,5477,4733,-13.58%
일본,Hokkaido,Minamifurano-cho,JP01097,0,12,2814,2376,-15.57%
일본,Hokkaido,Shimukappu-mura,JP01098,0,4,1394,1306,-6.31%
일본,Hokkaido,Wassamu-cho,JP01099,2,10,3832,3192,-16.70%
일본,Hokkaido,Kembuchi-cho,JP01100,6,10,3565,2926,-17.92%
일본,Hokkaido,Shimokawa-cho,JP01101,2,8,3775,3126,-17.19%
일본,Hokkaido,Bifuka-cho,JP01102,2,18,5178,4145,-19.95%
일본,Hokkaido,Otoineppu-mura,JP01103,0,2,995,706,-29.05%
일본,Hokkaido,Nakagawa-cho,JP01104,1,3,1907,1528,-19.87%
일본,Hokkaido,Horokanai-cho,JP01105,2,5,1710,1370,-19.88%
일본,Hokkaido,Mashike-cho,JP01106,5,12,5078,3908,-23.04%
일본,Hokkaido,Obira-cho,JP01107,5,8,3717,2994,-19.45%
일본,Hokkaido,Tomamae-cho,JP01108,0,11,3656,2936,-19.69%
일본,Hokkaido,Haboro-cho,JP01109,8,22,7964,6548,-17.78%
일본,Hokkaido,Shosambetsu-mura,JP01110,0,7,1369,1080,-21.11%
일본,Hokkaido,Embetsu-cho,JP01111,3,6,3084,2520,-18.29%
일본,Hokkaido,Teshio-cho,JP01112,4,5,3780,2950,-21.96%
일본,Hokkaido,Sarufutsu-mura,JP01113,0,2,2825,2611,-7.58%
일본,Hokkaido,Hamatombetsu-cho,JP01114,0,9,4168,3448,-17.27%
일본,Hokkaido,Nakatombetsu-cho,JP01115,5,12,1974,1637,-17.07%
